Name,Website,Latitude,Longitude,Address Line 1,,Address Line 2,,City,State,Zip Code,Phone Number,Type,Accept Undocumented?
Connecticut Renaissance - Stamford Outpatient Program,http://ctrenaissance.com/go.php?page=outpatient,41.05985,-73.54187,141 Franklin Street,,,,Stamford,CT,6902,203-324-3167,Children,
Ct Renaissance,http://www.ctrenaissance.com/,41.0599155,-73.5420661,141 Franklin Street,,Suite 400,,Stamford,CT,6905,203-487-0980,Children,
"Department Of Rehabilitation Services, State Of Connecticut - Bureau Of Rehabilitation Services - Stamford Local Office",https://www.ct.gov/dors/site/default.asp,41.06519,-73.542,1642 Bedford Street,,Suite 400,,Stamford,CT,6901,203-921-4161,Children,
"Department Of Rehabilitation Services, State Of Connecticut - Bureau Of Rehabilitation Services - Stamford Local Office",https://www.ct.gov/dors/site/default.asp,41.06519,-73.542,1642 Bedford Street,,5th Floor,,Stamford,CT,6902,203-323-0681,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,,Stamford,CT,6906,203-975-9559,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,,Stamford,CT,6902,203-588-1934,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,,Stamford,CT,6901,203-323-8560,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,,Stamford,CT,6902,203-548-0602,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,,Stamford,CT,6902,203-348-4294,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,,Stamford,CT,6901,203-327-7334,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,,Stamford,CT,6902,203-324-0594,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,,Stamford,CT,6905,203-322-7900,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,,Stamford,CT,6901,203-921-4161,Children,
Domus,https://www.stamfordacademy.org/about-us,41.0531778,-73.5217088,83 Lockwood Avenue,,,,Stamford,CT,6902,203-359-2320,Children,
Domus - Chester Addison Community Center,https://domuskids.org/programs/community/chester-addison-community-center-cacc/,41.04147,-73.5584,245 Selleck Street,,,,Stamford,CT,6902,203-324-3167,Education,NO- You need SS#/Citizenship Proof
Domus - Stamford Academy,https://www.stamfordacademy.org/about-us,41.05921,-73.5365,229 North Street,,,,Stamford,CT,6901,203-921-4161,Education,YES
Easter Seals Of Coastal Fairfield County - Autism And Developmental Disabilities Center,http://www.easterseals.com/cfc/,41.05841,-73.5395,733 Summer Street,,,,Stamford,CT,6901,203-323-8560,Education,yes
"Education, State Of Connecticut Department Of - J.M. Wright Technical High School)",http://wright.cttech.org/index.html,41.06541,-73.5506,120 Bridge Street,,,,Stamford,CT,6901,203-348-3828,Education,Yes
Exchange Club Parenting Skills Center,http://www.exchangeclubparentingskillscenter.com/,41.05985,-73.5419,141 Franklin Street,,,,Stamford,CT,6902,203-324-0594,Education,
Faith Tabernacle Church Food Pantry,http://www.wlafaith.org/connect/serving-others/community-food-pantry.html,41.05501,-73.5331,29 Grove Street,,,,Stamford,CT,6901,203-977-5674,Education,This program is not active anymore
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,,Stamford,CT,6902,203-324-0594,Education,
Family Centers - Stamford Site,http://www.familycenters.org/Stamford-CARES,41.0590451,-73.562821,60 Palmer's Hill Road,,,,Stamford,CT,6902,203-588-1934,Education,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,,Stamford,CT,6902,203-977-4209,Education,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,,Stamford,CT,69012315,203-251-8400,Education,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,,Stamford,CT,6902,203-977-4209,Education,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,,Stamford,CT,6902,203-324-3167,Education,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,,Stamford,CT,6901,203-977-4524,Education,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,,Stamford,CT,6902,203-674-8585,Education,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,,Stamford,CT,6902,203-323-0681,Education,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,,Stamford,CT,6906,203-323-0681,Education,
Food Bank Of Lower Fairfield County,https://www.foodbanklfc.org/,41.06904,-73.52,461 Glenbrook Road,,,,Stamford,CT,6902,203-351-8280,Education,
Haitian American Catholic Center,https://www.stamfordct.gov/youth-services/pages/haitian-american-catholic-center,41.06406,-73.5262,93 Hope Street,,,,Stamford,CT,6905,203-324-1880,Education,
Haitian American Catholic Center,https://www.stamfordct.gov/youth-services/pages/haitian-american-catholic-center,41.06406,-73.5262,93 Hope Street,,,,Stamford,CT,6902,203-323-0681,Education,
Hopeline Pregnancy Resource Center - Stamford Office,http://hopelineprc.org/,41.10024,-73.5479,838 High Ridge Road,,,,Stamford,CT,6906,203-323-0681,Education,
Hopeline Pregnancy Resource Center - Stamford Office,http://hopelineprc.org/,41.10024,-73.5479,838 High Ridge Road,,,,Stamford,CT,6902,203-977-4209,Education,
Housing Development Fund,https://hdfconnects.org/,41.05884,-73.5363,100 Prospect Street,,5th Floor,,Stamford,CT,6906,203-975-9559,Education,
Inroads/Fairfield-New Haven- Westchester Counties,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=INROADSFAIRFIELDNEWHAVENWESTCHESTERCOUNTIESCareerAwarenessJobTraining_2_556_1,41.05682,-73.54084,500 Summer Street,,2nd Floor,,Stamford,CT,6902,203-324-0594,Education,
Inroads/Fairfield-New Haven- Westchester Counties,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=INROADSFAIRFIELDNEWHAVENWESTCHESTERCOUNTIESCareerAwarenessJobTraining_2_556_1,41.05682,-73.54084,500 Summer Street,,2nd Floor,,Stamford,CT,6902,203-348-6491,Education,
Jewish Community Center Of Stamford,http://www.stamfordjcc.org/,41.09503,-73.5302,1035 Newfield Avenue,,2nd Floor,,Stamford,CT,6903,203-406-0343,Education,
Jewish Community Center Of Stamford,http://www.stamfordjcc.org/,41.09503,-73.5302,1035 Newfield Avenue,,2nd Floor,,Stamford,CT,6902,203-324-4277,Education,
Jewish Community Center Of Stamford,http://www.stamfordjcc.org/,41.09503,-73.5302,1035 Newfield Avenue,,2nd Floor,,Stamford,CT,69019310,203-977-4105,Education,
Jewish Community Center Of Stamford,http://www.stamfordjcc.org/,41.09503,-73.5302,1035 Newfield Avenue,,,,Stamford,CT,6902,203-674-8585,Education,
Jewish Community Center Of Stamford,http://www.stamfordjcc.org/,41.09503,-73.5302,1035 Newfield Avenue,,,,Stamford,CT,6905,203-324-1880,Education,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,,,Stamford,CT,6901,203-348-3828,Education,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,,,Stamford,CT,69019310,203-977-4105,Education,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,,,Stamford,CT,69019310,203-977-4105,Education,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,,,Stamford,CT,69019310,203-977-4105,Education,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,2nd Floor,,Stamford,CT,6902,203-324-6300,Education,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,2nd Floor,,Stamford,CT,69019310,203-977-4105,Education,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,2nd Floor,,Stamford,CT,6901,203-977-4524,Education,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,,,Stamford,CT,6901,203-977-4524,Education,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,,,Stamford,CT,6902,203-324-0594,Education,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,Suite 202,,Stamford,CT,6902,203-977-2734,Education,
Laurel House,https://www.laurelhouse.net/,41.06137,-73.5442,1616 Washington Boulevard,,,,Stamford,CT,6902,203-588-9023,Education,
Laurel House,https://www.laurelhouse.net/,41.06137,-73.5442,1616 Washington Boulevard,,5th Floor,,Stamford,CT,6905,203-674-5860,Education,
Laurel House - Treasure Hunters Thrift Store,https://www.laurelhouse.net/program-services/treasure-hunters-thrift-store.html,41.05679,-73.5401,501 Summer Street,,,,Stamford,CT,69019310,203-977-4105,Education,
Marshall Commons,,,,200 Ludlow Street,,,,Stamford,CT,6902,203-588-9023,Education,
New Covenant Center,https://www.newcovenantcenter.org/,41.04759,-73.5513,174 Richmond Hill Avenue,,,,Stamford,CT,6901,203-348-3828,Employment,Yes
New Covenant Center,https://www.newcovenantcenter.org/,41.04759,-73.5513,174 Richmond Hill Avenue,,,,Stamford,CT,6901,888-520-8691,Employment,
Optimus Behavioral Health Services,https://optimushealthcare.org/opthc/our-services/,41.05195,-73.5422,1351 Washington Blvd,,,,Stamford,CT,6905,866-859-8818,Employment,No
Optimus Health Care - Fairgate Community Health Center,https://optimushealthcare.org/opthc/locations-2/optimus-fairgate/,41.05186,-73.5517,138 Stillwater Avenue,,,,Stamford,CT,6905,866-859-8818,Employment,NO
Optimus Health Care - Harbor Point Community Health Center,https://optimushealthcare.org/opthc/locations-2/optimus-harbor-point/,41.04334,-73.54192,805 Atlantic Street,,,,Stamford,CT,6905,203-353-1984,Employment,NO
Optimus Health Care - Harbor Point Community Health Center,https://optimushealthcare.org/opthc/locations-2/optimus-harbor-point/,41.04334,-73.54192,805 Atlantic Street,,,,Stamford,CT,6902,203-324-3167,Employment,NO
Optimus Health Care - Harbor Point Community Health Center,https://optimushealthcare.org/opthc/locations-2/optimus-harbor-point/,41.04334,-73.54192,805 Atlantic Street,,,,Stamford,CT,6902,203-327-5810,Employment,YES
Optimus Health Care - Harbor Point Community Health Center,https://optimushealthcare.org/opthc/locations-2/optimus-harbor-point/,41.04334,-73.54192,805 Atlantic Street,,,,Stamford,CT,6901,203-348-3828,Employment,
Optimus Health Care - Harbor Point Community Health Center,https://optimushealthcare.org/opthc/locations-2/optimus-harbor-point/,41.04334,-73.54192,805 Atlantic Street,,,,Stamford,CT,6905,855-626-6632,Employment,
Optimus Health Care - Stamford - Washington Boulevard,https://optimushealthcare.org/opthc/locations-2/optimus-on-the-boulevard/,41.05821,-73.5426,1351 Washington Boulevard,,,,Stamford,CT,6905,203-353-1702,Employment,
Optimus Health Care - Stamford - Washington Boulevard,https://optimushealthcare.org/opthc/locations-2/optimus-on-the-boulevard/,41.05821,-73.5426,1351 Washington Boulevard,,,,Stamford,CT,6905,203-353-1702,Employment,
Optimus Health Care - Stamford Ambulatory Care Center - Healthy Start,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=OPTIMUSHEALTHCARESTAMFORDAMBULATORYCARECENTERHEALTHYSTARTCaseCareManagementforPregnantWomen_2_556_1,41.05821,-73.54257,1351 Washington Boulevard,,,,Stamford,CT,6905,866-859-8818,Employment,
Planned Parenthood Of Southern New England - Stamford,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,41.06675,-73.5436,35 Sixth Street,,,,Stamford,CT,6905,866-859-8818,Employment,
Planned Parenthood Of Southern New England - Stamford,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,41.06675,-73.5436,35 Sixth Street,,,,Stamford,CT,6905,203-353-1984,Employment,
Planned Parenthood Of Southern New England - Stamford,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,41.06675,-73.5436,35 Sixth Street,,,,Stamford,CT,6902,203-674-8585,Employment,
Planned Parenthood Of Southern New England - Stamford,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,41.06675,-73.5436,35 Sixth Street,,,,Stamford,CT,6902,203-744-4700,Employment,
Planned Parenthood Of Southern New England - Stamford,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,41.06675,-73.5436,35 Sixth Street,,,,Stamford,CT,6905,,Employment,
Planned Parenthood Of Southern New England - Stamford,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,41.06675,-73.5436,35 Sixth Street,,,,Stamford,CT,6901,203-921-4161,Employment,
Roscco 21St Century Community Learning Center - Hart Magnet School,http://roscco.org/21st-Century-Community-Learning-Centers,41.057879,-73.547257,61 Adams Avenue,,,,Stamford,CT,6905,866-859-8818,Employment,
Roscco Family Resource Center - Rogers International School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERROGERSINTERNATIONALSCHOOLEnglishasaSecondLanguage_2_556_1,41.05304,-73.5137,202 Blachley Road,,,,Stamford,CT,6905,203-353-1984,Employment,
Roscco Family Resource Center - Rogers International School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERROGERSINTERNATIONALSCHOOLEnglishasaSecondLanguage_2_556_1,41.05304,-73.5137,202 Blachley Road,,,,Stamford,CT,6905,203-353-1702,Employment,
Roscco Family Resource Center - Rogers International School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERROGERSINTERNATIONALSCHOOLEnglishasaSecondLanguage_2_556_1,41.05304,-73.5137,202 Blachley Road,,,,Stamford,CT,6902,203-674-8585,Employment,
Roscco Family Resource Center - Rogers International School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERROGERSINTERNATIONALSCHOOLEnglishasaSecondLanguage_2_556_1,41.05304,-73.5137,202 Blachley Road,,,,Stamford,CT,6901,888-520-8691,Employment,
Roscco Family Resource Center - Rogers International School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERROGERSINTERNATIONALSCHOOLEnglishasaSecondLanguage_2_556_1,41.05304,-73.5137,202 Blachley Road,,,,Stamford,CT,6902,203-327-5810,Employment,
Roscco Family Resource Center - Westover Magnet School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERWESTOVERMAGNETSCHOOLParentsasTeachersPAT_2_556_1,41.05772,-73.5599,412 Stillwater Avenue,,,,Stamford,CT,6905,203-353-1702,Employment,
Roscco Family Resource Center - Westover Magnet School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERWESTOVERMAGNETSCHOOLParentsasTeachersPAT_2_556_1,41.05772,-73.5599,412 Stillwater Avenue,,,,Stamford,CT,6905,866-859-8818,Employment,
Roscco Family Resource Center - Westover Magnet School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERWESTOVERMAGNETSCHOOLParentsasTeachersPAT_2_556_1,41.05772,-73.5599,412 Stillwater Avenue,,,,Stamford,CT,6905,866-859-8818,Employment,
Roscco Family Resource Center - Westover Magnet School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERWESTOVERMAGNETSCHOOLParentsasTeachersPAT_2_556_1,41.05772,-73.5599,412 Stillwater Avenue,,,,Stamford,CT,6902,203-324-3167,Employment,
Roscco Family Resource Center - Westover Magnet School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERWESTOVERMAGNETSCHOOLParentsasTeachersPAT_2_556_1,41.05772,-73.5599,412 Stillwater Avenue,,,,Stamford,CT,6902,203-327-5810,Employment,
Saint Joseph Parenting Center,https://www.sjpcenter.org/,41.0301,-73.52677,90 Fairfield Avenue,,,,Stamford,CT,6901,203-348-3828,Employment,
Saint Joseph Parenting Center,https://www.sjpcenter.org/,41.0301,-73.52677,90 Fairfield Avenue,,,,Stamford,CT,6901,203-921-4161,Employment,
Salvation Army - Stamford Corps Community Center,https://ctri.salvationarmy.org/sne/stamford,41.04097,-73.5556,198 Selleck Street,,,,Stamford,CT,69025696,203-324-9258,Employment,
Salvation Army - Stamford Corps Community Center,https://ctri.salvationarmy.org/sne/stamford,41.04097,-73.5556,198 Selleck Street,,2nd Floor,,Stamford,CT,6902,203-324-1816,Employment,
Salvation Army - Stamford Corps Community Center,https://ctri.salvationarmy.org/sne/stamford,41.04097,-73.5556,198 Selleck Street,,2nd Floor,,Stamford,CT,6905,866-859-8818,Employment,
Salvation Army - Stamford Corps Community Center,https://ctri.salvationarmy.org/sne/stamford,41.04097,-73.5556,198 Selleck Street,,2nd Floor,,Stamford,CT,6901,866-770-1881,Financial,YES
Schilo Seventh-Day Adventist Church Food Pantry,"http://www.schilosda.org/",,,977 Hope Street,,,,Stamford,CT,6905,855-626-6632,Financial,
School Based Health Center - Stamford - Cloonan Middle School,https://www.stamfordpublicschools.org/stamford-high-school/student-support-services/pages/school-based-health-center,41.059756,-73.547417,11 West North Street,,,,Stamford,CT,6902,203-359-2320,Financial,
School Based Health Center - Stamford - Dolan Middle School/Toquam Elementary School,https://www.stamfordpublicschools.org/stamford-high-school/student-support-services/pages/school-based-health-center,41.079474,-73.523856,51 Toms Road,,,,Stamford,CT,6901,203-977-5888,Financial,
School Based Health Center - Stamford - Rippowam Middle School/Aite High School,https://www.stamfordpublicschools.org/stamford-high-school/student-support-services/pages/school-based-health-center,41.08427,-73.5489,381 High Ridge Road,,,,Stamford,CT,6905,1 203-251-9300,Financial,
School Based Health Center - Stamford - Stamford High School,https://www.stamfordpublicschools.org/stamford-high-school/student-support-services/pages/school-based-health-center,41.061991,-73.531052,55 Strawberry Hill Avenue,,5th Floor,,Stamford,CT,6901,203-977-5888,Financial,
School Based Health Center - Stamford - Westhill High School,https://www.stamfordpublicschools.org/stamford-high-school/student-support-services/pages/school-based-health-center,41.092035,-73.565198,125 Roxbury Road,,,,Stamford,CT,6904,203-977-4747,Financial,
Silversource,https://www.silversource.org/,41.06621,-73.5445,2009 Summer Street,,5th Floor,,Stamford,CT,6904,203-977-4747,Financial,
