Name,Website,Latitude,Longitude,Address Line 1,,Address Line 2,City,State,Zip,Phone ,Type,Accept Undocumented?
Optimus Health Care - Harbor Point Community Health Center,https://optimushealthcare.org/opthc/locations-2/optimus-harbor-point/,41.04334,-73.54192,805 Atlantic Street,,,Stamford,CT,6905,203-487-0980,Children,
Planned Parenthood Of Southern New England - Stamford,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,41.06675,-73.5436,35 Sixth Street,,,Stamford,CT,6902,203-323-0681,Children,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,Stamford,CT,6906,203-975-9559,Children,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,Suite 400,Stamford,CT,6904,203-351-8291,Children,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,Suite 400,Stamford,CT,6902,203-351-8280,Children,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,Suite 400,Stamford,CT,6904,203-964-1000,Children,
"Center For Sexual Assault Crisis Counseling And Education, The",https://thecenter-ct.org/,41.05841,-73.53947,"733 Summer Street, Suite 503",,Suite 400,Stamford,CT,6907,203-351-8285,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,Stamford,CT,6901,203-977-5214,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,Suite 104,Stamford,CT,6902,203-324-3167,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,Stamford,CT,6902,203-324-3167,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,Suite 400,Stamford,CT,6905,203-487-0980,Children,
Stamford Hospital - Health Call,https://www.stamfordhealth.org/,41.0558412,-73.554057,One Hospital Plaza,,Suite 400,Stamford,CT,6905,203-487-0980,Children,
Easter Seals Of Coastal Fairfield County - Autism And Developmental Disabilities Center,http://www.easterseals.com/cfc/,41.05841,-73.5395,733 Summer Street,,Suite 400,Stamford,CT,6901,203-921-4161,Children,
Salvation Army - Stamford Corps Community Center,https://ctri.salvationarmy.org/sne/stamford,41.04097,-73.5556,198 Selleck Street,,5th Floor,Stamford,CT,6902,203-323-0681,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,Stamford,CT,6906,203-975-9559,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,Stamford,CT,6902,203-588-1934,Children,
Domestic Violence Crisis Center,http://www.dvccct.org/,41.05874,-73.5395,777 Summer Street,,,Stamford,CT,6901,203-323-8560,Children,
"Stamford Public Schools, Special Education",https://www.stamfordadulted.org/,41.044795,-73.5427674,888 Washington Boulevard,,,Stamford,CT,6902,203-548-0602,Children,
Planned Parenthood Of Southern New England - Stamford,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,41.06675,-73.5436,35 Sixth Street,,,Stamford,CT,6902,203-348-4294,Children,
Building One Community,https://building1community.org/,41.04109,-73.5505,75 Selleck Street,,,Stamford,CT,6901,203-327-7334,Children,
Roscco Family Resource Center - Rogers International School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERROGERSINTERNATIONALSCHOOLEnglishasaSecondLanguage_2_556_1,41.05304,-73.5137,202 Blachley Road,,,Stamford,CT,6902,203-324-0594,Children,
Roscco Family Resource Center - Westover Magnet School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERWESTOVERMAGNETSCHOOLParentsasTeachersPAT_2_556_1,41.05772,-73.5599,412 Stillwater Avenue,,,Stamford,CT,6905,203-322-7900,Children,
"Stamford Public Schools, Adult And Continuing Education",https://www.stamfordadulted.org/,41.044795,-73.5427674,369 Washington Boulevard,,,Stamford,CT,6901,203-921-4161,Children,
"Stamford, City Of - Public Library,  South End Branch",https://fergusonlibrary.org/,41.04358,-73.5385,34 Woodland Avenue,,,Stamford,CT,6902,203-359-2320,Children,
"Stamford, City Of - Public Library, Ferguson Library",https://fergusonlibrary.org/,41.05195,-73.5422,One Public Library Plaza,,,Stamford,CT,6902,203-324-3167,Education,NO- You need SS#/Citizenship Proof
Abilis - Therapy Center,http://www.abilis.us/,41.06076,-73.5415,1150 Summer Street,,,Stamford,CT,6901,203-921-4161,Education,YES
Roscco Family Resource Center - Rogers International School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERROGERSINTERNATIONALSCHOOLEnglishasaSecondLanguage_2_556_1,41.05304,-73.5137,202 Blachley Road,,,Stamford,CT,6901,203-323-8560,Education,yes
Roscco Family Resource Center - Westover Magnet School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERWESTOVERMAGNETSCHOOLParentsasTeachersPAT_2_556_1,41.05772,-73.5599,412 Stillwater Avenue,,,Stamford,CT,6902,203-977-4209,Education,Yes
Food Bank Of Lower Fairfield County,https://www.foodbanklfc.org/,41.06904,-73.52,461 Glenbrook Road,,,Stamford,CT,6901,203-348-3828,Education,Yes
164 Wilson Pantry Food Bank,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=164WILSONPANTRYFOODBANKVolunteerServices_2_556_0,41.04753,-73.5503,164 Richmond Hill Avenue,,,Stamford,CT,6902,203-324-0594,Education,
Faith Tabernacle Church Food Pantry,http://www.wlafaith.org/connect/serving-others/community-food-pantry.html,41.05501,-73.5331,29 Grove Street,,,Stamford,CT,6901,203-977-5674,Education,This program is not active anymore
Haitian American Catholic Center,https://www.stamfordct.gov/youth-services/pages/haitian-american-catholic-center,41.06406,-73.5262,93 Hope Street,,,Stamford,CT,6902,203-324-0594,Education,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,,Stamford,CT,6902,203-588-1934,Education,
Marshall Commons,,,,200 Ludlow Street,,,Stamford,CT,6902,203-977-4209,Education,
New Covenant Center,https://www.newcovenantcenter.org/,41.04759,-73.5513,174 Richmond Hill Avenue,,,Stamford,CT,69012315,203-251-8400,Education,
Salvation Army - Stamford Corps Community Center,https://ctri.salvationarmy.org/sne/stamford,41.04097,-73.5556,198 Selleck Street,,,Stamford,CT,6902,203-977-4209,Education,
Schilo Seventh-Day Adventist Church Food Pantry,"http://www.schilosda.org/",,,977 Hope Street,,,Stamford,CT,6902,203-324-3167,Education,
"Social Services, State Of Connecticut Department Of - Western Regional, Stamford",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SOCIALSERVICESSTATEOFCONNECTICUTDEPARTMENTOFWESTERNREGIONALSTAMFORDFoodStampSNAPApplications_2_556_0,41.06519,-73.54201,1642 Bedford Street,,,Stamford,CT,6901,203-977-4524,Education,
Clothes To Kids Of Fairfield County,https://clothestokidsfairfieldcounty.org/,41.04886,-73.5513,90 Fairfield Avenue,,,Stamford,CT,6902,203-674-8585,Education,
"Social Services, State Of Connecticut Department Of - Western Regional, Stamford",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SOCIALSERVICESSTATEOFCONNECTICUTDEPARTMENTOFWESTERNREGIONALSTAMFORDFoodStampSNAPApplications_2_556_0,41.06519,-73.54201,1642 Bedford Street,,,Stamford,CT,6902,203-323-0681,Education,
"Stamford Public Schools, Adult And Continuing Education",https://www.stamfordadulted.org/,41.044795,-73.5427674,369 Washington Boulevard,,,Stamford,CT,6906,203-323-0681,Education,
"Children And Families, State Of Connecticut Department Of - Stamford Area Office",https://portal.ct.gov/DCF,41.04552,-73.5252,401 Shippan Avenue,,,Stamford,CT,6902,203-977-4209,Education,
Exchange Club Parenting Skills Center,http://www.exchangeclubparentingskillscenter.com/,41.05985,-73.5419,141 Franklin Street,,,Stamford,CT,6902,203-351-8280,Education,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,Stamford,CT,6904,203-351-8228,Education,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,Stamford,CT,6905,203-324-1880,Education,
Roscco Family Resource Center - Rogers International School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERROGERSINTERNATIONALSCHOOLEnglishasaSecondLanguage_2_556_1,41.05304,-73.5137,202 Blachley Road,,,Stamford,CT,6902,203-323-0681,Education,
Roscco Family Resource Center - Westover Magnet School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERWESTOVERMAGNETSCHOOLParentsasTeachersPAT_2_556_1,41.05772,-73.5599,412 Stillwater Avenue,,,Stamford,CT,6906,203-323-0681,Education,
Boys And Girls Club Of Stamford,http://www.bgcastamford.org/,41.05542,-73.55719,347 Stillwater Avenue,,,Stamford,CT,6902,203-977-4209,Education,
Domus - Chester Addison Community Center,https://domuskids.org/programs/community/chester-addison-community-center-cacc/,41.04147,-73.5584,245 Selleck Street,,5th Floor,Stamford,CT,6906,203-975-9559,Education,
Salvation Army - Stamford Corps Community Center,https://ctri.salvationarmy.org/sne/stamford,41.04097,-73.5556,198 Selleck Street,,2nd Floor,Stamford,CT,6902,203-324-0594,Education,
Haitian American Catholic Center,https://www.stamfordct.gov/youth-services/pages/haitian-american-catholic-center,41.06406,-73.5262,93 Hope Street,,2nd Floor,Stamford,CT,6902,203-348-6491,Education,
Domus,https://www.stamfordacademy.org/about-us,41.05921,-73.5365,83 Lockwood Avenue,,2nd Floor,Stamford,CT,6903,203-406-0343,Education,
Stamford Public Schools,https://www.stamfordpublicschools.org/,41.051501,-73.543146,888 Washington Boulevard,,2nd Floor,Stamford,CT,6902,203-324-4277,Education,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,2nd Floor,Stamford,CT,69019310,203-977-4105,Education,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6902,203-674-8585,Education,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6905,203-324-1880,Education,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6901,203-348-3828,Education,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,69019310,203-977-4105,Education,
Building One Community,https://building1community.org/,41.04109,-73.5505,75 Selleck Street,,,Stamford,CT,69019310,203-977-4105,Education,
"Community Action Agency Of Western Ct, The - Stamford Site",http://caawc.org/,41.04358,-73.5385,34 Woodland Avenue,,,Stamford,CT,69019310,203-977-4105,Education,
"Department Of Rehabilitation Services, State Of Connecticut - Bureau Of Rehabilitation Services - Stamford Local Office",https://www.ct.gov/dors/site/default.asp,41.06519,-73.542,1642 Bedford Street,,2nd Floor,Stamford,CT,6902,203-324-6300,Education,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,2nd Floor,Stamford,CT,69019310,203-977-4105,Education,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,2nd Floor,Stamford,CT,6901,203-977-4524,Education,
"Stamford, City Of - Youth Services  Bureau",https://www.stamfordct.gov/youth-services,41.05149,-73.5431399,888 Washington Boulevard,,,Stamford,CT,6901,203-977-4524,Education,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6902,203-324-0594,Education,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,Suite 202,Stamford,CT,6902,203-977-2734,Education,
American Job Centers - Stamford,https://www.ajcswct.com/index.asp?Type=B_BASIC&SEC=%7BE6D395E4-DA88-4CB0-B0A7-165F5AAD699F%7D,41.05985,-73.54187,141 Franklin Street,,,Stamford,CT,6902,203-588-9023,Education,
Building One Community,https://building1community.org/,41.04109,-73.5505,75 Selleck Street,,5th Floor,Stamford,CT,6905,203-674-5860,Education,
Building One Community,https://building1community.org/,41.04109,-73.5505,75 Selleck Street,,,Stamford,CT,69019310,203-977-4105,Education,
Inroads/Fairfield-New Haven- Westchester Counties,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=INROADSFAIRFIELDNEWHAVENWESTCHESTERCOUNTIESCareerAwarenessJobTraining_2_556_1,41.05682,-73.54084,500 Summer Street,,,Stamford,CT,6902,203-324-1816,Education,
Urban League Of Southern Connecticut,https://www.ulsc.org/,41.04415,-73.53869,137 Henry Street,,,Stamford,CT,6902,203-588-9023,Education,
"Superior Court, Connecticut - Juvenile Matters At Stamford",https://jud.ct.gov/directory/directory/directions/33.htm,41.06099,-73.5365,123 Hoyt Street,,,Stamford,CT,6901,203-977-5361,Education,
"Stamford, City Of - Tax Collector",https://www.stamfordct.gov/tax-collection,41.05149,-73.5431,888 Washington Boulevard,,,Stamford,CT,6901,203-348-3828,Employment,Yes
"Social Services, State Of Connecticut Department Of - Western Regional, Stamford",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SOCIALSERVICESSTATEOFCONNECTICUTDEPARTMENTOFWESTERNREGIONALSTAMFORDFoodStampSNAPApplications_2_556_0,41.06519,-73.54201,1642 Bedford Street,,,Stamford,CT,6901,888-520-8691,Employment,
"Social Services, State Of Connecticut Department Of - Western Regional, Stamford",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SOCIALSERVICESSTATEOFCONNECTICUTDEPARTMENTOFWESTERNREGIONALSTAMFORDFoodStampSNAPApplications_2_556_0,41.06519,-73.54201,1642 Bedford Street,,Suite 100,Stamford,CT,6905,203-353-1702,Employment,NO
"Social Services, State Of Connecticut Department Of - Western Regional, Stamford",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SOCIALSERVICESSTATEOFCONNECTICUTDEPARTMENTOFWESTERNREGIONALSTAMFORDFoodStampSNAPApplications_2_556_0,41.06519,-73.54201,1642 Bedford Street,,,Stamford,CT,6905,866-859-8818,Employment,No
"Social Services, State Of Connecticut Department Of - Western Regional, Stamford",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SOCIALSERVICESSTATEOFCONNECTICUTDEPARTMENTOFWESTERNREGIONALSTAMFORDFoodStampSNAPApplications_2_556_0,41.06519,-73.54201,1642 Bedford Street,,,Stamford,CT,6905,866-859-8818,Employment,NO
"Social Services, State Of Connecticut Department Of - Western Regional, Stamford",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=SOCIALSERVICESSTATEOFCONNECTICUTDEPARTMENTOFWESTERNREGIONALSTAMFORDFoodStampSNAPApplications_2_556_0,41.06519,-73.54201,1642 Bedford Street,,,Stamford,CT,6905,203-353-1984,Employment,NO
Housing Development Fund,https://hdfconnects.org/,41.05884,-73.5363,100 Prospect Street,,,Stamford,CT,6902,203-324-3167,Employment,NO
"Superior Court, Connecticut - Stamford-Norwalk",https://www.jud.ct.gov/external/super/,41.060206,-73.53565,123 Hoyt Street,,,Stamford,CT,6902,203-327-5810,Employment,YES
"Superior Court, Connecticut - Stamford-Norwalk",https://www.jud.ct.gov/external/super/,41.060206,-73.53565,123 Hoyt Street,,,Stamford,CT,6901,203-348-3828,Employment,
Urban League Of Southern Connecticut,https://www.ulsc.org/,41.04415,-73.53869,137 Henry Street,,,Stamford,CT,6905,855-626-6632,Employment,
Stamford Hospital,https://www.stamfordhealth.org/,41.05584,-73.5541,One Hospital Plaza,,,Stamford,CT,6905,203-353-1702,Employment,
Jewish Community Center Of Stamford,http://www.stamfordjcc.org/,41.09503,-73.5302,1035 Newfield Avenue,,,Stamford,CT,6905,203-353-1702,Employment,
Roscco Family Resource Center - Rogers International School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERROGERSINTERNATIONALSCHOOLEnglishasaSecondLanguage_2_556_1,41.05304,-73.5137,202 Blachley Road,,,Stamford,CT,6905,866-859-8818,Employment,
Roscco Family Resource Center - Westover Magnet School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERWESTOVERMAGNETSCHOOLParentsasTeachersPAT_2_556_1,41.05772,-73.5599,412 Stillwater Avenue,,,Stamford,CT,6905,866-859-8818,Employment,
"Stamford, City Of - Public Library,  Harry Bennett Branch",http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=STAMFORDCITYOFPUBLICLIBRARYHARRYBENNETTBRANCHComputerClassesPublicInternetPublicLibraries_2_556_1,41.10053,-73.5432,115 Vine Street,,,Stamford,CT,6905,203-353-1984,Employment,
"Stamford, City Of - Public Library,  South End Branch",https://fergusonlibrary.org/,41.04358,-73.5385,34 Woodland Avenue,,,Stamford,CT,6902,203-674-8585,Employment,
"Stamford, City Of - Public Library, Ferguson Library",https://fergusonlibrary.org/,41.05195,-73.5422,One Public Library Plaza,,,Stamford,CT,6902,203-744-4700,Employment,
"Stamford, City Of - Public Library, Weed Memorial And Hollander Branch",https://fergusonlibrary.org/,41.09747,-73.5197,1143 Hope Street,,,Stamford,CT,6905,,Employment,
"Stamford, City Of - Recreation",https://www.stamfordrecreation.com/,41.05149,-73.5431,888 Washington Boulevard,,,Stamford,CT,6901,203-921-4161,Employment,
Abilis - Therapy Center,http://www.abilis.us/,41.06076,-73.5415,1150 Summer Street,,,Stamford,CT,6901,203-921-4161,Employment,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,Stamford,CT,6901,203-977-5674,Employment,
Family Centers - Stamford Site,http://www.familycenters.org/,41.0590451,-73.562821,60 Palmer's Hill Road,,,Stamford,CT,6905,866-859-8818,Employment,
Jewish Community Center Of Stamford,http://www.stamfordjcc.org/,41.09503,-73.5302,1035 Newfield Avenue,,,Stamford,CT,6905,203-353-1984,Employment,
Jewish Community Center Of Stamford,http://www.stamfordjcc.org/,41.09503,-73.5302,1035 Newfield Avenue,,,Stamford,CT,6905,203-353-1702,Employment,
Jewish Family Service Of Stamford,https://www.ctjfs.org/,41.05841,-73.53947,733 Summer Street,,,Stamford,CT,6902,203-674-8585,Employment,
Roscco Family Resource Center - Rogers International School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERROGERSINTERNATIONALSCHOOLEnglishasaSecondLanguage_2_556_1,41.05304,-73.5137,202 Blachley Road,,,Stamford,CT,6901,888-520-8691,Employment,
Roscco Family Resource Center - Westover Magnet School,http://connecticut.networkofcare.org/mh/services/agency.aspx?pid=ROSCCOFAMILYRESOURCECENTERWESTOVERMAGNETSCHOOLParentsasTeachersPAT_2_556_1,41.05772,-73.5599,412 Stillwater Avenue,,,Stamford,CT,6902,203-327-5810,Employment,
Saint Joseph Parenting Center,https://www.sjpcenter.org/,41.0488625,-73.5513051,90 Fairfield Avenue,,,Stamford,CT,6905,203-353-1702,Employment,
Stamford Counseling Center,http://sccweb.org/,41.05195,-73.5422,One Walton Place,,,Stamford,CT,6905,866-859-8818,Employment,
Birthright Of Greater Stamford,http://birthright.org/greaterstamford/,41.05597,-73.5407,388 Summer Street,,,Stamford,CT,6905,866-859-8818,Employment,
